No,classification,PGR,P-PET,Leak,GW_Abs,Pop_den,Irri_int,Aquifer
761,Increasing,240.398407,193.2976074,36.032,42.555,82.99466056,51,Chalk
762,No trend,211.477005,197.9078674,8.59,7.187,95.93705853,51,Triassic Sandstone
763,No trend,26.58440781,180.1964569,6.946,41.78,295.2121646,251,Oolites
764,No trend,171.9423676,176.986496,9.786,16.604,65.08442618,1001,Permian Sandstone
765,No trend,312.6815186,289.6835632,36.032,42.555,154.9916892,51,Chalk
767,No trend,251.6184692,231.8211212,36.032,42.555,61.54395241,51,Chalk
768,No trend,210.7198334,203.4671783,36.032,42.555,76.78066244,251,Oolites
769,No trend,135.3605804,186.2917633,9.786,16.604,54.73335412,1001,Triassic Sandstone
771,Increasing,179.2902374,124.3866196,36.032,42.555,489.9542471,51,Oolites
773,Increasing,241.7683411,255.6942902,36.032,42.555,128.711493,51,Chalk
775,Sudden upward change,277.4639282,256.6192322,9.786,16.604,5085.62955,501,Triassic Sandstone
776,Increasing,277.4639282,256.6192322,9.786,16.604,5083.057181,501,Triassic Sandstone
777,Sudden downward change,17.684618,98.83777618,3.332,13.058,97.11929291,1001,Crag
778,Increasing,149.9654846,144.9059448,9.786,16.604,1255.580565,501,Unallocated to aquifers
779,No trend,186.2606049,189.0711365,8.59,7.187,59.24053916,51,Corallian Limestone
780,Increasing,301.0293274,278.6954041,8.174,41.78,1467.72572,1001,Chalk
782,Decreasing,299.9925537,224.0093842,36.032,42.555,87.47770016,51,Lower Greensand
783,No trend,148.6933289,99.11376953,8.174,41.78,1304.739508,251,Chalk
784,No trend,379.3845215,578.9653931,13.911,6.465,825.2378681,1,Carboniferous Limestone
785,No trend,410.0261536,414.1722107,6.946,41.78,83.70608256,501,Corallian Limestone
786,No trend,191.7857513,181.0054779,36.032,42.555,130.2168448,251,Oolites
787,Sudden upward change,24.89812088,164.1381531,36.032,42.555,427.8261307,251,Chalk
789,Decreasing,228.0028839,170.4777222,9.786,16.604,56.28007177,251,Triassic Sandstone
790,No trend,372.7543335,354.0791626,8.174,41.78,87.31073387,1,Chalk
791,Decreasing,109.3323517,81.49913788,3.332,13.058,60.05940696,5001,Chalk
792,Increasing,306.5831604,393.494873,8.174,41.78,449.3898125,251,Chalk
793,Increasing,176.5458984,152.5048065,9.786,16.604,1530.040806,501,Unallocated to aquifers
794,Decreasing,335.1210022,309.7647705,8.174,41.78,409.8051994,1,Chalk
795,Increasing,393.938324,479.8817444,7.969,9.611,196.6130661,51,Carboniferous Limestone
796,Increasing,234.9514313,242.5881805,36.032,42.555,266.2944204,51,Oolites
797,Sudden upward change,148.384552,186.7138672,6.424,7.187,138.7587292,1,Fell Sandstone& Border Group
798,Decreasing,33.40722275,267.910553,14.592,42.555,304.4455191,501,Chalk
799,Increasing,226.3749542,362.125885,13.911,6.465,3405.672037,101,Triassic Sandstone
800,No trend,404.7459717,330.7662354,6.946,41.78,97.09112784,1001,Chalk
801,No trend,204.7575531,179.6907349,36.032,42.555,145.7490284,51,Chalk
802,Decreasing,132.3576965,134.5989685,8.59,7.187,77.55313988,251,Triassic Sandstone
803,Increasing,136.3736267,108.7460175,3.332,13.058,45.65584249,751,Oolites
804,No trend,148.4965973,204.5476532,36.032,42.555,4401.346558,101,Chalk
805,Increasing,318.5414734,314.2352905,12.995,41.78,168.130695,1001,Chalk
806,Increasing,195.6215515,288.3679504,13.911,6.465,1476.810196,101,Triassic Sandstone
807,No trend,271.7600708,273.667511,8.174,41.78,258.8831386,1,Chalk
808,Decreasing,102.7755585,80.38285828,3.332,13.058,57.51615315,5001,Chalk
809,No trend,243.4869843,248.5377197,36.032,41.78,209.6159039,251,Corallian Limestone
810,Increasing,95.62987518,133.2905731,3.332,13.058,115.3349189,1001,Oolites
811,Increasing,138.5048981,162.5562134,9.786,16.604,1058.733728,1001,Unallocated to aquifers
812,Increasing,391.277832,379.1409912,6.946,41.78,99.8884681,1,Chalk
813,No trend,153.1697845,177.1806488,9.786,6.465,1066.681227,101,Triassic Sandstone
814,No trend,255.6630707,261.6385193,4.294,9.611,178.4716516,51,Chalk
815,Increasing,160.7205963,207.3393402,6.424,7.187,350.6026213,1,Unallocated to aquifers
816,No trend,22.43784714,170.6558075,36.032,42.555,152.7777447,251,Oolites
817,Sudden upward change,199.2975769,181.2460022,9.786,16.604,763.7925333,1001,Unallocated to aquifers
818,No trend,215.1802521,199.2256927,9.786,6.465,438.2933955,101,Triassic Sandstone
819,No trend,219.8164368,219.5265808,36.032,42.555,119.1646506,51,Chalk
820,No trend,141.3628693,201.3633575,9.786,6.465,339.6290072,101,Triassic Sandstone
821,No trend,329.7743225,307.0557556,14.592,41.78,86.8823384,1001,Chalk
822,Increasing,22.62021255,89.67519379,36.032,42.555,5451.877545,1001,Chalk
825,No trend,307.8193665,293.6549377,6.946,42.555,174.6075427,251,Chalk
826,No trend,550.2190552,402.1099548,13.911,6.465,201.0098899,1,Permian Sandstone
827,No trend,199.9213562,197.573349,9.786,16.604,507.8391042,2501,Carboniferous Limestone
828,Sudden upward change,196.8521423,278.6109314,6.424,7.187,69.09840181,1,Fell Sandstone& Border Group
829,No trend,572.6581421,496.9561157,12.995,41.78,94.60498772,1001,Chalk
830,Increasing,153.274292,224.6473083,13.911,6.465,977.9442504,101,Triassic Sandstone
831,No trend,159.8982239,140.0057373,8.59,7.187,53.70144044,251,Triassic Sandstone
832,Increasing,31.01618195,87.10662842,3.332,16.604,221.0484462,2501,Triassic Sandstone
833,No trend,105.3016357,342.5214539,3.811,9.611,309.8462162,51,Triassic Sandstone
834,No trend,119.3648529,146.2710266,3.332,13.058,99.7656985,1001,Chalk
835,No trend,126.9027023,181.4404602,8.174,41.78,288.7508259,1001,Chalk
836,No trend,126.9027023,181.4404602,8.174,41.78,288.6226589,1001,Chalk
837,No trend,215.1027527,264.9433899,36.032,42.555,1446.256253,51,Chalk
838,Increasing,262.4108276,217.2089081,36.032,42.555,98.81135967,51,Chalk
839,No trend,36.70358276,322.6456299,3.811,41.78,104.3647134,1,Chalk
840,No trend,196.1806488,163.6962891,18.409,16.604,1276.273598,501,Triassic Sandstone
841,No trend,99.40353,110.1715393,3.332,7.187,1686.851873,251,Magnesian Limestone
842,Decreasing,142.9810486,79.8132019,3.332,13.058,148.148714,5001,Chalk
843,No trend,408.05765,341.5207214,6.946,41.78,1090.754979,1,Chalk
844,Increasing,284.1477051,276.2334595,14.592,42.555,284.2255056,101,Chalk
845,No trend,42.34901428,380.0307617,6.946,41.78,196.342017,501,Corallian Limestone
846,No trend,235.5034485,255.9447021,14.592,41.78,357.8763253,501,Lower Greensand
848,No trend,44.598038,310.08267,8.174,41.78,547.5314428,251,Lower Greensand
850,No trend,320.4451294,293.6214905,4.294,9.611,215.0051865,51,Chalk
851,No trend,124.6758499,118.4816895,9.786,16.604,2641.247147,1001,Carboniferous Limestone
853,Increasing,234.4641266,164.888031,9.786,16.604,2655.64101,1001,Magnesian Limestone
855,Decreasing,338.7644958,381.7814636,12.995,41.78,117.9954023,101,Chalk
856,No trend,383.2763367,544.8614502,9.786,16.604,59.823258,1,Carboniferous Limestone
857,No trend,254.1262512,208.3642578,9.786,16.604,72.68070932,1001,Triassic Sandstone
858,No trend,130.5200806,93.96459198,14.592,42.555,104.2058328,101,Chalk
859,No trend,362.104126,382.7599182,8.174,41.78,78.28291209,1001,Lower Greensand
860,Decreasing,119.0485382,211.7312164,6.946,41.78,246.56199,251,Lower Greensand
861,No trend,167.0050964,108.9604874,3.332,13.058,100.4924611,5001,Chalk
862,No trend,198.6966095,137.6177826,3.332,13.058,55.65869202,1001,Chalk
863,Increasing,332.4155579,276.6461182,8.174,41.78,322.3306543,1,Chalk
865,No trend,291.5698853,265.1936646,8.174,41.78,642.9133648,1,Chalk
866,Increasing,274.8948975,280.2915039,36.032,42.555,274.7704835,51,Oolites
867,Increasing,32.42092133,111.5065994,14.592,42.555,394.1777537,101,Chalk
868,No trend,21.51133728,107.6046677,3.332,13.058,109.0861193,751,Chalk
869,Sudden upward change,129.6452026,162.9556885,6.424,7.187,194.7044651,251,Magnesian Limestone
870,No trend,46.38176727,377.8465271,3.811,41.78,73.63705273,251,Chalk
871,No trend,133.4939117,152.0388947,8.59,7.187,118.6723237,51,Chalk
873,No trend,237.1577301,252.2184296,36.032,42.555,212.9803408,51,Oolites
874,No trend,383.2438965,331.138031,6.946,41.78,1037.787194,1,Chalk
875,No trend,125.1999588,162.5956268,3.332,13.058,54.30560508,5001,Chalk
876,Decreasing,36.55231094,113.2644577,4.342,13.058,97.23917455,5001,Chalk
877,Increasing,262.2088928,320.3355103,36.032,42.555,221.4742796,501,Lower Greensand
878,Decreasing,253.1165771,328.6465454,3.811,41.78,349.2909998,251,Chalk
879,Decreasing,291.2085571,211.5150909,14.592,42.555,724.1318943,101,Chalk
880,No trend,139.9911499,163.7367096,9.786,16.604,76.29599292,1001,Permian Sandstone
882,Increasing,332.874054,274.6467285,8.174,41.78,1494.32906,1,Chalk
883,Increasing,176.4013214,167.3494263,9.786,16.604,593.7810201,1001,Triassic Sandstone
884,No trend,324.0505066,270.5584106,8.174,41.78,83.33063767,1,Chalk
885,Increasing,261.6529236,276.8484497,8.174,41.78,89.37098921,1,Chalk
886,No trend,19.28379822,44.66609573,3.332,13.058,1755.401903,2501,Chalk
888,No trend,139.9732971,193.1338806,13.911,6.465,74.17305084,101,Triassic Sandstone
889,No trend,89.46602631,47.29766464,3.332,13.058,198.3401141,5001,Chalk
890,No trend,146.0683899,158.1488953,6.424,7.187,138.0759607,251,Magnesian Limestone
891,Sudden upward change,23.36275291,196.9684906,36.032,42.555,159.0023056,251,Oolites
892,Increasing,591.6828613,502.5429382,8.174,41.78,118.274797,1001,Chalk
895,No trend,298.6734619,281.1469421,36.032,42.555,60.91964193,51,Chalk
896,Decreasing,286.6174622,351.9963684,6.946,42.555,329.5015017,501,Lower Greensand
897,No trend,212.6728363,236.1652527,9.786,16.604,402.3070403,1001,Unallocated to aquifers
898,Increasing,188.2458496,200.8866577,18.409,16.604,950.0485978,501,Triassic Sandstone
899,Increasing,306.5831604,260.7958374,8.174,41.78,538.0489287,251,Chalk
900,No trend,354.2076416,408.1127014,14.592,41.78,263.0944058,1001,Chalk
901,No trend,224.4220123,150.469574,14.592,42.555,648.202002,251,Chalk
902,No trend,54.20615387,368.1216431,6.946,41.78,351.4578196,251,Corallian Limestone
903,No trend,369.8812256,314.0826111,8.174,41.78,487.903101,1,Chalk
904,Increasing,369.8812256,314.0826111,8.174,41.78,487.8302908,1,Chalk
905,Sudden upward change,46.05027008,193.2167664,9.786,16.604,955.2653768,501,Unallocated to aquifers
906,No trend,21.05822182,141.2186127,36.032,42.555,155.0005802,251,Oolites
907,No trend,145.0380402,110.504921,14.592,42.555,131.5032271,101,Chalk
908,Increasing,35.73492432,380.9116516,13.911,6.465,971.8109458,101,Triassic Sandstone
909,Decreasing,186.4980927,121.4063492,3.332,13.058,159.1384455,5001,Chalk
911,No trend,19.28379822,44.66609573,3.332,13.058,1753.611753,2501,Chalk
912,No trend,156.9667053,157.3522797,9.786,16.604,136.8836442,251,Triassic Sandstone
913,No trend,301.1144104,322.6634521,8.174,41.78,64.90042246,1,Chalk
914,Increasing,376.4836426,312.5505981,6.946,41.78,246.6283916,1,Chalk
915,No trend,75.23847961,-12.03377151,14.592,13.058,1037.363735,1001,Chalk
916,Decreasing,447.6882935,413.3001709,12.995,41.78,233.5478404,101,Chalk
917,Decreasing,118.2327499,107.7893753,3.332,13.058,61.63604697,5001,Chalk
918,No trend,209.3162842,229.7585449,6.946,42.555,278.1096261,251,Chalk
919,Increasing,188.6655426,132.8128204,36.032,41.78,559.3904562,1,Lower Greensand
920,Decreasing,244.2069397,225.1882019,36.032,42.555,166.654851,101,Chalk
921,Increasing,219.3072205,196.4451904,9.786,16.604,1105.077539,2501,Triassic Sandstone
922,Sudden downward change,158.5945587,147.4375153,8.59,7.187,76.88675752,251,Triassic Sandstone
923,Increasing,161.1628265,76.91730499,8.59,16.604,403.7615976,2501,Triassic Sandstone
924,Decreasing,341.8271484,518.9182129,13.911,6.465,153.9981571,1,Triassic Sandstone
925,Increasing,407.1668091,365.9709473,4.294,9.611,125.8451272,51,Chalk
926,No trend,224.7848511,172.8580475,36.032,42.555,210.8570841,51,Chalk
927,Decreasing,181.0841675,149.8312988,9.786,16.604,252.2468176,1001,Unallocated to aquifers
930,Increasing,328.9217529,318.5872803,4.294,9.611,317.6222932,51,Oolites
931,Increasing,328.9217529,318.5872803,4.294,9.611,316.7177302,51,Oolites
932,No trend,212.7638855,177.1816406,13.911,6.465,76.43573419,1,Triassic Sandstone
933,No trend,40.31347656,253.4491119,4.294,9.611,91.4065759,51,Oolites
934,Increasing,207.0483704,199.2111511,8.59,7.187,151.9279149,51,Chalk
935,No trend,300.8078003,281.8574829,3.811,9.611,141.1619019,51,Unallocated to aquifers
937,Decreasing,172.144577,81.29515839,3.332,13.058,60.1760403,5001,Chalk
938,Increasing,12.86196804,72.57948303,3.332,13.058,90.20510774,101,Oolites
939,Decreasing,87.27088165,147.4678955,6.946,41.78,284.4929806,251,Lower Greensand
940,Increasing,193.6543121,183.0659943,14.592,42.555,680.8105156,101,Chalk
941,No trend,126.1428604,137.9382019,9.786,16.604,68.92257244,1001,Unallocated to aquifers
942,No trend,190.6160278,88.96465302,3.332,13.058,1255.303035,1001,Chalk
943,Increasing,253.3261719,334.290741,36.032,42.555,141.0048963,251,Oolites
944,No trend,354.2565918,376.3218384,6.946,42.555,312.6566533,501,Chalk
945,Increasing,180.2844543,164.0315094,36.032,41.78,460.5831735,1,Chalk
946,No trend,431.184967,324.7713623,8.174,41.78,229.0141614,1001,Chalk
947,No trend,284.7094421,218.0235748,6.946,41.78,96.79135485,1001,Lower Greensand
948,No trend,284.7094421,218.0235748,6.946,41.78,96.80684047,1001,Lower Greensand
949,Increasing,31.01618195,95.39711761,3.332,16.604,163.3207358,1001,Triassic Sandstone
950,Sudden upward change,145.5332489,152.4776154,6.424,7.187,474.1626785,251,Magnesian Limestone
951,No trend,90.75239563,80.09115601,8.59,7.187,103.2840632,51,Triassic Sandstone
952,Sudden upward change,118.289917,210.8403625,6.424,7.187,761.6846679,1,Fell Sandstone& Border Group
953,Decreasing,131.1786804,105.4058228,3.332,13.058,131.0084293,5001,Chalk
954,No trend,106.0548706,100.1384659,3.332,13.058,184.3754954,751,Oolites
955,No trend,102.9323959,63.4194603,9.093,13.058,90.52317079,1001,Crag
956,No trend,126.9027023,193.1464539,8.174,41.78,210.7514253,1001,Chalk
957,Decreasing,262.0542297,232.8544312,14.592,42.555,353.8544805,101,Chalk
958,Increasing,385.900116,257.1983032,8.174,41.78,1790.870928,1,Chalk
959,Increasing,158.1155701,271.7034912,13.911,6.465,1149.395481,101,Triassic Sandstone
960,No trend,353.37146,415.7319031,3.811,9.611,91.1504568,51,Triassic Sandstone
961,Decreasing,40.77294922,320.1140747,8.174,42.555,202.2350783,51,Chalk
962,No trend,52.05731201,84.59989166,8.59,7.187,166.084657,751,Triassic Sandstone
963,No trend,197.2525177,183.4784393,8.59,7.187,120.5875856,51,Chalk
964,Increasing,342.1133423,295.0792542,12.995,41.78,233.9849157,1001,Chalk
965,No trend,301.2825623,286.4208984,36.032,42.555,114.0771657,51,Chalk
967,No trend,503.0190125,490.3684998,12.995,41.78,68.22033929,1001,Chalk
968,Increasing,445.148407,403.885376,13.911,6.465,63.78149416,1,Permian Sandstone
969,Increasing,51.96942139,547.1863403,6.946,41.78,224.8541162,1001,Chalk
970,No trend,278.4248657,294.3089294,8.174,41.78,177.8247783,1,Chalk
971,Decreasing,198.4701538,138.7070465,3.332,13.058,57.07032273,5001,Chalk
972,Decreasing,125.3322144,176.0433044,9.786,6.465,139.2079966,1,Unallocated to aquifers
973,No trend,146.7883453,116.0048065,3.332,13.058,68.63298563,5001,Chalk
974,Increasing,320.7911072,267.040802,4.294,9.611,247.2292446,51,Chalk
975,No trend,293.7473145,184.129715,9.786,16.604,54.35413316,1001,Triassic Sandstone
976,No trend,15.60534382,108.8475723,8.174,41.78,172.4868274,1001,Lower Greensand
977,No trend,170.8760681,134.6112366,8.59,7.187,172.0717627,501,Magnesian Limestone
978,No trend,350.6909485,288.4384766,8.174,41.78,150.0278408,1,Chalk
979,Decreasing,112.6851578,32.86232758,3.332,13.058,115.4620178,5001,Chalk
980,Increasing,104.0996094,102.0159836,8.59,7.187,1045.68177,251,Triassic Sandstone
981,Increasing,385.507019,235.6365814,4.512,16.604,192.0117031,501,Unallocated to aquifers
982,Decreasing,106.3280334,84.4335022,4.342,13.058,265.1096765,5001,Chalk
983,No trend,128.1180878,190.0349579,6.946,41.78,730.1140638,1001,Lower Greensand
984,Increasing,358.6864624,324.2198486,8.174,41.78,537.2904257,1,Chalk
985,Decreasing,140.3264618,79.37187195,3.332,13.058,191.9782776,5001,Chalk
986,No trend,294.5562439,257.4667358,36.032,42.555,93.11180191,51,Chalk
987,Increasing,318.0441895,269.8841858,14.592,42.555,808.424852,101,Chalk
988,Sudden upward change,33.72470093,84.8511734,14.592,42.555,590.2671844,101,Chalk
989,No trend,133.8883667,42.43774796,3.332,13.058,120.4650381,5001,Chalk
990,Decreasing,36.55231094,113.2644577,4.342,13.058,111.3444539,5001,Chalk
991,No trend,104.5973587,124.8737335,6.946,41.78,539.6837227,251,Chalk
992,Decreasing,127.5415344,49.68126297,3.332,13.058,256.8493474,1001,Chalk
993,No trend,36.87063217,380.4534607,6.946,41.78,174.087199,501,Corallian Limestone
994,Sudden downward change,303.8314,257.8435059,14.592,41.78,364.5798265,1001,Unallocated to aquifers
995,Increasing,193.8435669,333.3974304,13.911,6.465,4951.735719,101,Triassic Sandstone
997,Decreasing,146.0905762,121.9676895,3.332,13.058,66.11605196,5001,Chalk
998,Increasing,207.1418304,230.2151184,36.032,42.555,226.6245104,51,Chalk
999,No trend,12.94090939,141.8571472,3.332,13.058,74.5290006,1001,Chalk
1000,No trend,310.0819397,291.6585083,8.174,41.78,61.51200295,1,Chalk
1001,Increasing,216.1406555,235.6844482,14.592,42.555,610.8761684,101,Chalk
1002,Increasing,363.473877,250.5596008,8.59,7.187,20.45794202,751,Corallian Limestone
1003,No trend,326.8277283,282.382843,8.174,41.78,527.1409666,1,Chalk
1004,No trend,30.30919456,224.7320709,36.032,42.555,851.3502132,51,Chalk
1005,No trend,33.8390007,97.73006439,14.592,42.555,726.4306108,101,Chalk
1006,No trend,5.642447948,56.17277145,36.032,42.555,7437.985778,1001,Chalk
1007,Increasing,213.6174164,283.7486267,13.911,6.465,1731.55308,101,Triassic Sandstone
1008,No trend,121.1405716,132.275589,6.424,7.187,213.1567958,251,Triassic Sandstone
1009,No trend,168.7767487,147.0973969,9.786,16.604,77.6870882,1001,Permian Sandstone
1010,Increasing,21.62331581,95.75834656,14.592,42.555,865.5125239,1001,Chalk
1011,No trend,29.88400078,54.9774704,3.332,13.058,68.89797366,1001,Chalk
1012,No trend,248.8957977,186.1391602,8.59,7.187,339.9839093,751,Corallian Limestone
1013,No trend,217.8492889,277.0842896,9.786,16.604,76.48555505,101,Triassic Sandstone
1014,No trend,97.75543213,163.6664429,8.174,41.78,159.9525901,1001,Lower Greensand
1015,Increasing,287.3470154,222.6173248,6.946,41.78,276.6995531,251,Lower Greensand
1016,No trend,287.3470154,222.6173248,6.946,41.78,276.6410566,251,Lower Greensand
1017,Increasing,32.65843201,304.0294495,8.174,42.555,205.2606717,51,Chalk
1018,No trend,208.7727203,174.704071,36.032,42.555,123.511315,51,Oolites
1019,Sudden upward change,191.7857513,187.654541,36.032,42.555,116.1468704,251,Oolites
1020,Decreasing,109.0606461,141.4806366,6.424,7.187,2321.403021,1,Fell Sandstone& Border Group
1021,Increasing,138.5720978,136.5164185,6.424,7.187,104.4438464,251,Magnesian Limestone
1023,No trend,244.2062378,256.4227295,14.592,42.555,387.1723075,101,Chalk
1024,No trend,270.5937195,368.6591187,6.946,41.78,203.4952246,251,Corallian Limestone
1025,No trend,161.263092,50.50954437,9.093,13.058,80.59458269,2501,Crag
1026,No trend,183.1040192,188.3755188,8.59,7.187,34.34434886,751,Corallian Limestone
1027,No trend,506.4893494,460.7849426,4.294,9.611,335.7865376,101,Chalk
1028,No trend,16.92735481,123.3292542,8.174,41.78,216.7546891,1001,Oolites
1029,Decreasing,156.6133728,141.8507385,3.332,13.058,103.7535873,5001,Chalk
1030,No trend,170.9203491,186.6053009,9.786,16.604,219.438371,1001,Unallocated to aquifers
1031,No trend,89.7352829,204.2356873,8.59,7.187,30.99600402,751,Triassic Sandstone
1032,No trend,306.0726624,283.9563293,14.592,42.555,348.1356988,101,Chalk
1033,Increasing,37.76183701,280.1639709,6.946,42.555,269.4804347,251,Chalk
1034,Increasing,307.3553162,328.9202271,14.592,41.78,237.7272637,1001,Lower Greensand
1035,Sudden upward change,33.59119034,127.3817291,9.786,16.604,192.3594495,1001,Triassic Sandstone
1036,Increasing,142.7702637,164.9840088,9.786,16.604,128.0383472,2501,Triassic Sandstone
1037,Increasing,180.2844543,127.3608398,36.032,41.78,511.8445763,1,Chalk
1038,Increasing,213.7402496,204.5306396,13.911,6.465,60.6091137,101,Triassic Sandstone
1039,Increasing,140.7582245,40.03326416,14.592,13.058,159.2990204,1001,Chalk
1040,No trend,282.3499756,265.8019104,36.032,42.555,185.7587979,51,Chalk
1041,No trend,110.0909424,80.63387299,3.332,13.058,140.1891738,751,Oolites
1042,Increasing,82.46567535,145.3820496,8.59,7.187,65.56313466,251,Triassic Sandstone
1043,Decreasing,41.68864059,334.3110352,12.995,41.78,227.1392574,101,Chalk
1044,No trend,29.80681229,103.0401535,14.592,42.555,87.10273694,101,Chalk
1045,No trend,421.6724243,329.6925659,3.811,9.611,168.1443766,51,Triassic Sandstone
1046,Decreasing,88.21806335,49.31111145,4.342,13.058,124.7538345,5001,Chalk
1047,Increasing,553.7379761,477.367218,4.294,9.611,232.9811951,101,Chalk
1048,No trend,104.1233444,112.8536682,3.332,13.058,387.4484905,1001,Chalk
1049,No trend,220.1389465,197.1844788,9.786,16.604,112.2334733,101,Triassic Sandstone
1050,Decreasing,369.8735046,365.0215759,12.995,41.78,136.8682184,1001,Chalk
1051,Increasing,209.859848,184.9994202,36.032,42.555,105.8806296,51,Oolites
1052,Increasing,472.0376282,482.102478,12.995,41.78,76.00275925,1001,Chalk
1053,Increasing,22.34929466,114.4857788,14.592,42.555,6295.557297,101,Chalk
1054,No trend,41.19310379,106.8834686,14.592,42.555,156.6402719,101,Chalk
1055,No trend,198.0307007,214.5262909,9.786,16.604,223.6184611,1001,Permian Sandstone
1056,No trend,340.9912415,343.0252991,8.174,41.78,129.4738035,1,Chalk
1057,Decreasing,133.193634,252.0956879,14.592,41.78,218.4295999,1001,Lower Greensand
1058,Increasing,449.8478699,379.6599731,8.174,41.78,816.7921726,1,Chalk
1059,Decreasing,352.1392822,321.0895081,8.174,41.78,284.2862104,251,Lower Greensand
1060,No trend,158.8093414,149.3534088,8.59,7.187,129.629063,251,Triassic Sandstone
1061,No trend,396.4249573,408.9364929,3.811,9.611,215.5568407,51,Triassic Sandstone
1062,No trend,405.7128296,367.8327332,6.946,41.78,83.60456091,1,Corallian Limestone
1063,No trend,106.6460571,360.1322632,3.811,9.611,272.4778756,51,Triassic Sandstone
1064,No trend,350.3098755,357.8556824,14.592,41.78,562.021809,1001,Chalk
1067,Increasing,18.64943695,-8.654720306,8.174,41.78,794.6922494,251,Chalk
1068,Decreasing,187.666214,138.3248901,36.032,42.555,157.4400117,251,Chalk
1069,No trend,309.3978882,307.9939575,6.946,41.78,74.72152856,1,Chalk
1070,No trend,268.5865784,213.6200409,6.946,41.78,164.2806072,251,Chalk
1071,Decreasing,31.10386658,63.73740005,14.592,13.058,131.7247587,1001,Chalk
1072,No trend,221.1743164,155.9254608,3.332,13.058,146.4778262,1001,Chalk
1073,Increasing,24.86216354,136.8262177,36.032,42.555,1059.296499,251,Chalk
1074,No trend,373.7589417,381.1234131,14.592,41.78,141.18949,1001,Chalk
1075,No trend,33.39495087,365.602417,3.811,9.611,85.28728432,51,Chalk
1076,No trend,583.3518066,358.3245239,13.911,6.465,20.81990329,1,Carboniferous Limestone
1077,No trend,145.8109131,173.4383545,9.786,16.604,68.94247449,1001,Permian Sandstone
1078,No trend,140.5079498,157.2850647,9.786,16.604,70.36849901,1001,Permian Sandstone
1079,Increasing,346.4732056,271.0934448,4.294,9.611,191.1405449,51,Triassic Sandstone
1080,Sudden downward change,97.62621307,152.9039459,3.332,13.058,56.37248794,751,Spilsby Sandstone
1082,No trend,27.93751335,67.17884827,3.332,13.058,71.24739972,1001,Lower Greensand
1083,Decreasing,115.4794617,148.2815094,6.424,7.187,224.3317728,251,Magnesian Limestone
1084,Increasing,268.651062,272.4925537,8.174,41.78,83.63436323,1,Chalk
1085,No trend,300.34375,268.4051819,6.946,42.555,177.2995024,251,Chalk
1086,Sudden upward change,40.35720825,171.7897949,6.424,7.187,1929.875398,1,Fell Sandstone& Border Group
1087,No trend,191.7857513,181.0054779,36.032,42.555,126.6717896,251,Oolites
1088,No trend,158.8247986,181.1833038,9.786,16.604,226.0021415,1001,Triassic Sandstone
1089,No trend,121.9772034,148.2241211,36.032,42.555,456.0869223,251,Chalk
1090,Increasing,217.8105316,209.4398193,8.59,7.187,106.1575167,51,Triassic Sandstone
1091,No trend,41.45174789,330.1532898,6.946,41.78,141.4032062,1,Chalk
1092,No trend,434.5333252,356.2785034,12.995,41.78,129.6632918,101,Chalk
1093,No trend,236.4904327,162.2190857,14.592,42.555,362.0739649,101,Chalk
1094,Sudden upward change,242.1357727,293.1566467,9.786,16.604,68.19562529,51,Triassic Sandstone
1096,Decreasing,253.1262054,159.1617889,36.032,42.555,162.4007966,251,Chalk
1097,No trend,285.9415283,305.3664246,4.294,9.611,48.6876546,51,Chalk
1098,No trend,167.6878815,120.2659607,14.592,42.555,269.1562713,101,Chalk
1099,Increasing,431.184967,347.0438843,8.174,41.78,167.9175227,1001,Chalk
1100,No trend,285.2254944,255.7832794,36.032,42.555,1385.177262,51,Chalk
1101,Decreasing,371.843689,407.9033203,4.294,41.78,72.17095448,1,Chalk
1102,Increasing,436.6575928,349.3088379,8.174,41.78,107.9324409,1001,Chalk
1103,No trend,141.6743317,116.5174561,3.332,13.058,323.8592544,1001,Chalk
1104,No trend,338.5850525,255.8629456,6.946,41.78,95.22164754,251,Lower Greensand
1106,Increasing,318.200592,328.5901184,9.786,16.604,257.1980328,101,Triassic Sandstone
1107,Increasing,408.5389709,481.8998413,12.995,41.78,86.83694097,1001,Chalk
1108,No trend,154.2378387,58.69151306,8.59,16.604,237.4103281,1001,Triassic Sandstone
1109,No trend,26.22364616,67.33448792,3.332,13.058,86.32642381,5001,Chalk
1110,Increasing,19.44602013,111.492981,3.332,13.058,309.6497938,251,Lower Greensand
1111,No trend,157.601593,98.99685669,8.59,7.187,54.57528663,251,Triassic Sandstone
1112,No trend,46.68952179,373.1790161,6.946,41.78,299.3603126,1,Chalk
1113,No trend,276.9766235,284.8979187,36.032,41.78,608.8681494,1,Chalk
1114,Decreasing,266.2822266,228.5496216,36.032,42.555,170.3696985,251,Chalk
1115,No trend,264.7723083,204.6721497,8.59,7.187,296.0827605,51,Triassic Sandstone
1116,No trend,262.8927612,201.132843,36.032,42.555,85.62966978,51,Chalk
1117,No trend,207.6489258,182.2210083,9.786,16.604,65.90009289,1001,Unallocated to aquifers
1119,No trend,46.15386963,90.74652863,3.332,13.058,324.7935385,751,Triassic Sandstone
1120,No trend,275.7500305,228.5198669,36.032,42.555,136.8136205,251,Chalk
1121,No trend,121.2273483,151.8432617,3.332,13.058,48.53513458,751,Oolites
