No,classification,PGR,P-PET,Leak,GW_Abs,Pop_den,Irri_int,Aquifer
82,No trend,49.68465042,180.5996857,9.786,16.604,178.8040171,501,Unallocated to aquifers
83,No trend,176.0119934,122.5269012,3.332,13.058,61.14781607,5001,Chalk
84,No trend,72.73069763,274.6302795,3.811,9.611,698.7889628,51,Permian Sandstone
85,No trend,87.94158173,79.41028595,8.59,7.187,140.2040489,51,Triassic Sandstone
86,No trend,434.4024963,372.7342834,4.294,9.611,71.12905241,101,Lower Greensand
87,Decreasing,306.0024414,307.8195801,36.032,41.78,192.8789838,1,Lower Greensand
88,Decreasing,146.0905762,139.5955048,3.332,13.058,190.2017817,5001,Chalk
89,No trend,133.9121399,244.4068756,8.59,7.187,20.22620447,751,Corallian Limestone
90,No trend,34.87853622,124.2774048,9.786,16.604,481.1097267,1001,Triassic Sandstone
91,Increasing,31.09737396,174.4576569,36.032,42.555,151.8133544,51,Chalk
92,Increasing,426.6903992,411.6299744,6.946,41.78,109.1599471,1,Chalk
93,Decreasing,284.3858948,297.5210571,4.294,41.78,195.603157,1,Chalk
94,No trend,322.4630432,232.3612213,9.786,16.604,220.7467912,251,Triassic Sandstone
95,No trend,408.0576477,360.2086487,6.946,41.78,792.1305304,1,Chalk
96,No trend,101.6632538,82.34613037,3.332,13.058,47.21798928,751,Oolites
98,No trend,137.9547882,171.1339111,9.786,16.604,172.7726856,251,Permian Sandstone
99,No trend,197.3976898,140.1150818,9.786,16.604,116.0637785,1001,Permian Sandstone
102,Increasing,234.9514313,235.6344604,36.032,42.555,207.8760704,51,Oolites
103,Sudden upward change,153.9954681,211.9784393,6.424,7.187,461.5946749,1,Unallocated to aquifers
106,Decreasing,90.44624329,33.68586731,3.332,13.058,120.7795495,5001,Chalk
107,No trend,289.9238892,289.7531433,36.032,42.555,148.7496959,51,Chalk
108,No trend,29.57124138,101.3245392,3.332,13.058,123.4884868,1001,Lower Greensand
109,No trend,333.5096436,518.2895508,13.911,6.465,109.6645465,1,Triassic Sandstone
110,Sudden upward change,188.4281006,190.1796722,6.946,42.555,240.5824342,251,Chalk
111,No trend,132.3629608,109.491066,3.332,13.058,30.06412326,5001,Chalk
113,Increasing,188.6655426,127.896904,36.032,41.78,529.9691253,1,Chalk
114,No trend,171.9423676,179.8826599,9.786,16.604,65.83999262,1001,Permian Sandstone
115,Increasing,565.8536987,532.387207,4.294,9.611,328.4548729,101,Chalk
116,No trend,283.1145935,215.4697113,4.294,9.611,182.7381644,51,Chalk
117,No trend,283.1145935,215.4697113,4.294,9.611,182.2749278,51,Chalk
118,No trend,24.64358521,235.2807465,36.032,42.555,113.806982,251,Oolites
119,No trend,281.7405701,408.038208,13.911,6.465,236.5106713,1,Triassic Sandstone
122,Sudden downward change,119.0491562,166.4115753,6.424,7.187,198.5340692,1,Unallocated to aquifers
123,No trend,139.9859924,136.0694275,9.786,16.604,918.2436572,251,Permian Sandstone
124,Increasing,547.2608032,458.7964478,6.946,41.78,241.9944324,101,Chalk
125,No trend,145.8400879,181.4150848,9.786,16.604,55.20586252,1001,Triassic Sandstone
126,No trend,520.3009644,418.0917664,12.995,41.78,83.99278715,101,Chalk
128,No trend,33.87651825,257.3903198,6.946,42.555,517.1250436,251,Chalk
129,Decreasing,90.72922516,37.27507782,3.332,13.058,218.7500344,5001,Chalk
130,Increasing,237.9033813,179.1171265,8.174,41.78,690.3078215,1001,Oolites
131,No trend,182.9639893,98.2919693,8.174,41.78,1074.38586,251,Chalk
132,No trend,51.11841583,436.0410156,6.946,41.78,246.9154949,251,Corallian Limestone
133,Sudden upward change,458.0018616,517.1412964,13.911,6.465,1272.978993,1,Carboniferous Limestone
134,No trend,23.3736248,71.92311096,3.332,13.058,132.5070188,751,Oolites
135,Increasing,31.60856056,364.1670532,13.911,6.465,1095.523224,101,Unallocated to aquifers
136,No trend,32.60707855,115.7826767,14.592,42.555,252.0835559,101,Chalk
137,No trend,215.8418579,203.6172028,36.032,41.78,413.8281749,1,Lower Greensand
139,No trend,105.8878708,79.82482147,3.332,13.058,81.06147605,5001,Chalk
140,Increasing,63.18778992,154.2429199,11.001,42.555,4703.402071,101,Chalk
141,Decreasing,147.2480011,163.1678467,3.332,13.058,120.5519084,5001,Chalk
142,No trend,229.8244019,377.0512085,13.911,6.465,5804.207958,1,Unallocated to aquifers
143,No trend,219.9575806,189.1554108,36.032,41.78,387.0153468,1,Chalk
144,No trend,81.25505066,106.1192322,3.332,13.058,103.3178668,751,Chalk
145,Increasing,19.31705284,90.59397888,36.032,41.78,2115.768011,1,Lower Greensand
146,No trend,397.4776001,331.2988586,8.174,41.78,105.1835938,1,Chalk
147,Increasing,32.00712585,89.81803894,3.332,13.058,86.99495652,5001,Chalk
150,No trend,222.3006897,348.1865845,13.911,6.465,4941.620278,101,Triassic Sandstone
151,No trend,332.1676025,286.5549622,8.174,41.78,85.92842909,1,Chalk
152,Decreasing,116.6868439,72.42858124,14.592,13.058,99.51277419,5001,Chalk
153,No trend,304.0594788,323.1964722,36.032,42.555,194.6280935,51,Oolites
154,No trend,269.2443848,254.6431885,9.786,16.604,71.73843159,251,Unallocated to aquifers
155,No trend,193.6940918,188.2973328,3.332,13.058,142.0011322,1001,Chalk
156,No trend,410.9653015,375.8943481,8.174,41.78,87.87074394,1,Chalk
157,No trend,191.75383,136.1283417,6.946,41.78,398.7543659,1,Chalk
158,Increasing,57.12657166,84.12631226,36.032,42.555,11773.5324,251,Chalk
159,No trend,586.5454102,531.5661621,13.911,6.465,29.2,1,Triassic Sandstone
160,Increasing,127.8042374,124.524292,6.424,7.187,2619.770622,1,Magnesian Limestone
161,Decreasing,159.0205994,70.39320374,3.332,13.058,69.28947516,5001,Chalk
162,Sudden upward change,122.9059525,147.084259,6.424,7.187,303.3066232,251,Magnesian Limestone
163,No trend,450.0524902,415.4000244,4.294,9.611,182.5124098,51,Unallocated to aquifers
164,No trend,193.3681183,276.265564,13.911,6.465,5253.566562,101,Triassic Sandstone
165,Decreasing,315.9281311,262.8123779,14.592,42.555,714.9730999,51,Chalk
166,Decreasing,272.4346924,230.4287109,6.946,41.78,281.3677158,251,Lower Greensand
167,Increasing,459.0180664,416.214386,4.294,9.611,55.14810851,51,Lower Greensand
168,Increasing,30.78638077,54.11237717,3.332,13.058,56.95768427,2501,Crag
169,No trend,377.5715637,419.2054443,6.946,41.78,103.1883483,1,Chalk
170,No trend,37.77614975,288.079834,36.032,16.604,89.72379056,501,Triassic Sandstone
171,No trend,153.845459,154.6366577,9.786,16.604,72.83920496,1001,Unallocated to aquifers
172,No trend,25.88909531,193.4294891,36.032,42.555,785.1701275,51,Chalk
173,No trend,330.0172424,366.2720642,14.592,41.78,773.3551718,1001,Chalk
174,Sudden upward change,127.1959457,144.8063049,6.424,7.187,190.7198911,251,Magnesian Limestone
175,Increasing,244.546524,227.2689972,9.786,16.604,641.1610676,2501,Magnesian Limestone
176,No trend,137.3908844,187.1952209,9.786,6.465,1179.835327,1,Triassic Sandstone
177,No trend,178.1560211,195.8417206,36.032,42.555,312.0678377,51,Oolites
178,Increasing,599.9164429,442.7479248,13.911,6.465,15.64554883,1,Permian Sandstone
179,Increasing,167.3031464,179.1558075,9.786,16.604,329.3739404,1001,Triassic Sandstone
180,Sudden downward change,187.0968475,225.6568146,3.332,13.058,21.79842153,751,Spilsby Sandstone
183,No trend,126.5127411,318.2373962,13.911,6.465,967.4226659,1,Triassic Sandstone
184,Increasing,32.84813309,228.3120575,6.946,42.555,364.3235502,251,Chalk
185,Increasing,187.7009125,205.2142029,8.59,7.187,133.1871301,51,Chalk
186,Increasing,243.6427765,213.9277496,36.032,42.555,45.79419257,251,Oolites
187,Decreasing,129.1001282,167.8177795,9.786,16.604,604.8564659,1001,Triassic Sandstone
188,No trend,113.9756927,312.4747009,13.911,6.465,679.459842,101,Triassic Sandstone
189,Increasing,312.2929688,287.3473511,8.174,41.78,162.9026519,1,Chalk
190,Increasing,29.61888695,240.1824036,13.911,6.465,555.1255076,1,Triassic Sandstone
191,Increasing,235.0616455,210.989563,9.786,16.604,1284.336289,251,Triassic Sandstone
192,Increasing,284.5552063,293.3185425,36.032,42.555,146.2944025,51,Chalk
193,Decreasing,301.6109009,267.0674744,4.294,9.611,66.13003219,51,Chalk
194,No trend,120.6103363,155.785141,3.332,13.058,49.11727891,1001,Spilsby Sandstone
195,Increasing,420.6409302,401.3301086,8.174,41.78,91.09775179,1001,Chalk
196,Decreasing,124.2222137,89.27427673,3.332,13.058,69.17257387,5001,Chalk
197,Decreasing,123.7081451,74.9401474,3.332,13.058,82.95791036,5001,Chalk
198,No trend,244.5489197,112.6575623,36.032,42.555,1296.275839,251,Corallian Limestone
199,No trend,312.1543274,378.9409485,18.409,16.604,76.27861278,51,Triassic Sandstone
200,Increasing,470.0413208,329.7217102,7.969,9.611,185.0656779,51,Carboniferous Limestone
201,No trend,280.5093994,185.958374,36.032,42.555,102.2323306,251,Oolites
202,Decreasing,187.9445953,144.842804,14.592,42.555,1775.154856,101,Chalk
203,No trend,400.2086792,414.1176147,7.969,16.604,242.5158152,101,Triassic Sandstone
204,Increasing,136.318985,150.0172272,8.59,7.187,824.7467296,51,Chalk
205,No trend,52.42777252,405.6120911,3.811,9.611,189.3571967,51,Unallocated to aquifers
206,Decreasing,67.00899506,148.4123993,3.332,13.058,29.49817885,5001,Chalk
207,No trend,110.2617035,61.97940826,14.592,13.058,63.77216833,5001,Chalk
208,No trend,222.0693054,194.7125549,8.174,41.78,2323.999256,251,Chalk
209,No trend,100.7090836,107.2259445,8.59,7.187,57.76638162,251,Triassic Sandstone
210,Decreasing,171.0692139,84.53714752,3.332,13.058,58.95287787,5001,Chalk
211,Increasing,199.3253174,193.5820007,3.332,13.058,46.86580833,1001,Spilsby Sandstone
212,No trend,231.6298218,211.1381073,8.59,7.187,36.34496131,51,Chalk
215,No trend,56.87414169,376.7641602,8.174,41.78,355.4582339,1,Chalk
216,No trend,86.76607513,27.041502,3.332,13.058,337.0170208,5001,Chalk
217,Sudden downward change,56.16865921,83.20726776,8.59,7.187,282.9395294,51,Triassic Sandstone
218,No trend,89.16043091,62.26210403,3.332,13.058,107.2832133,751,Oolites
219,No trend,26.55133247,62.36035156,3.332,13.058,139.6991327,1001,Chalk
220,Decreasing,276.087677,208.4443665,36.032,42.555,164.7879405,251,Chalk
221,No trend,156.5846405,67.3086853,3.332,13.058,120.7519482,751,Oolites
