No,label,trend classification,ts_slope (cm/year),piecewise_R2,sudden change windows span,sudden change window start year,sudden change window end year
1887,Laverton 2,Slow increasing,-6.603962704,0.214806087,5,10/1/2019,10/1/2023
1888,Knowlton Dower House,Slow decreasing,4.216814504,0.517001174,14,10/1/1967,10/1/1980
1889,Deep Spinney,No trend,-0.385416667,0.022080565,2,10/1/1998,10/1/1999
1890,Little Orchard,Slow decreasing,7.286011905,0.177034797,53,10/1/1966,10/1/2018
1891,Gade 6,No trend,0.870192308,0.38242315,8,10/1/2002,10/1/2009
1892,Gamston,No trend,1.021929825,0.497336507,18,10/1/1969,10/1/1986
1893,Bowmoor,No trend,-0.602083333,0.336186382,9,10/1/2015,10/1/2023
1894,Whitwick,Slow decreasing,2.732840854,0.279307421,32,10/1/1974,10/1/2005
1895,High Up Farm,Slow increasing,-5.792011019,0.331715211,1,10/1/2001,10/1/2001
1896,Venson Farm,Slow increasing,-3.874125874,0.206317365,9,10/1/1992,10/1/2000
1897,Upper Trinity,Slow increasing,-7.292526743,0.951991531,22,10/1/1970,10/1/1991
1898,Penton Corner,No trend,-0.595328283,0.01631242,28,10/1/1996,10/1/2023
1900,Bentley Bridge,No trend,-0.659722222,0.379132653,3,10/1/1996,10/1/1998
1901,Haymans Farm,Slow decreasing,7.23023416,0.827114981,28,10/1/1970,10/1/1997
1902,Saxby,No trend,1.644354918,0.162516199,2,10/1/2022,10/1/2023
1903,Clapham Wood,No trend,-1.671923077,0.076656577,18,10/1/2006,10/1/2023
1904,Leechmore Cross,Slow increasing,-3.858540765,0.47926708,30,10/1/1994,10/1/2023
1906,Quarry Farm,No trend,0.879166667,0.179187261,51,10/1/1971,10/1/2021
1907,Wick Down,No trend,-1.778645833,0.037520357,33,10/1/1991,10/1/2023
1908,Grange Farm Pimhill,Slow decreasing,3.276157796,0.484989552,15,10/1/2004,10/1/2018
1909,Pack Lane Kempshott,Slow increasing,-2.848826463,0.087687967,33,10/1/1990,10/1/2022
1910,Oakhill,No trend,-0.333992095,0.020478514,50,10/1/1974,10/1/2023
1911,Ringmere,No trend,0.274589646,0.0059518,20,10/1/2003,10/1/2022
1912,Branstone Cross,Slow increasing,-8.539814815,0.4088012,41,10/1/1983,10/1/2023
1913,Speke,Slow increasing,-4.354511848,0.608240271,25,10/1/1998,10/1/2022
1914,Abbots Farm,Slow decreasing,2.567125032,0.219002492,4,10/1/2008,10/1/2011
